"",""
"Action","Action"
"Add Event","Add Event"
"Add Invitation Status","Add Invitation Status"
"Add New Event Attribute","Add New Event Attribute"
"Add New Invitation Status Attribute","Add New Invitation Status Attribute"
"Address ","Address "
"Allow Comments","Allow Comments"
"Allow Invitation","Allow Invitation"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the events.","An error occurred while updating the events."
"An error occurred while updating the invitations status.","An error occurred while updating the invitations status."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Banner Image","Banner Image"
"CSV","CSV"
"Cancel Event","Cancel Event"
"Change Allow Invitation","Change Allow Invitation"
"Change Cancel Event","Change Cancel Event"
"Change status","Change status"
"City","City"
"Color","Color"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Contact Email","Contact Email"
"Contact Number","Contact Number"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find event to delete.","Could not find event to delete."
"Could not find invitation status to delete.","Could not find invitation status to delete."
"Country","Country"
"Created at","Created at"
"Customer Address","Customer Address"
"Customer Contact Number","Customer Contact Number"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Event Attribute","Delete Event Attribute"
"Delete Event comment","Delete Event comment"
"Delete Event","Delete Event"
"Delete File","Delete File"
"Delete Invitation Status Attribute","Delete Invitation Status Attribute"
"Delete Invitation Status comment","Delete Invitation Status comment"
"Delete Invitation Status","Delete Invitation Status"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Event '%s'","Edit Event '%s'"
"Edit Event Attribute ""%s""","Edit Event Attribute ""%s"""
"Edit Event Attribute","Edit Event Attribute"
"Edit Event comment '%s'","Edit Event comment '%s'"
"Edit Invitation Status '%s'","Edit Invitation Status '%s'"
"Edit Invitation Status Attribute ""%s""","Edit Invitation Status Attribute ""%s"""
"Edit Invitation Status Attribute","Edit Invitation Status Attribute"
"Edit Invitation Status comment '%s'","Edit Invitation Status comment '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"End Date","End Date"
"End Time","End Time"
"Error saving event","Error saving event"
"Error saving invitation status","Error saving invitation status"
"Event Comment","Event Comment"
"Event Comments","Event Comments"
"Event Id","Event Id"
"Event Information","Event Information"
"Event Level","Event Level"
"Event Name","Event Name"
"Event Type","Event Type"
"Event comment","Event comment"
"Event was saved","Event was saved"
"Event was successfully deleted.","Event was successfully deleted."
"Event was successfully saved","Event was successfully saved"
"Event","Event"
"Events","Events"
"Excel","Excel"
"File","File"
"From Date","From Date"
"From Time","From Time"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Image","Image"
"Invitation Status Comment","Invitation Status Comment"
"Invitation Status Comments","Invitation Status Comments"
"Invitation Status Information","Invitation Status Information"
"Invitation Status comment","Invitation Status comment"
"Invitation Status was saved","Invitation Status was saved"
"Invitation Status was successfully deleted.","Invitation Status was successfully deleted."
